6-16-2026 10:41:26-log: Cannot access game frame or container.
6-16-2026 10:41:26-debug: asset-db:require-engine-code (481ms)
6-16-2026 10:41:26-log: meshopt wasm decoder initialized
6-16-2026 10:41:26-log: [bullet]:bullet wasm lib loaded.
6-16-2026 10:41:26-log: [box2d]:box2d wasm lib loaded.
6-16-2026 10:41:26-log: Cocos Creator v3.8.8
6-16-2026 10:41:26-log: Using legacy pipeline
6-16-2026 10:41:26-debug: [Assets Memory track]: asset-db:worker-init: initEngine start:27.96MB, end 79.05MB, increase: 51.09MB
6-16-2026 10:41:26-log: Forward render pipeline initialized.
6-16-2026 10:41:27-debug: [Assets Memory track]: asset-db:worker-init: initPlugin start:79.09MB, end 340.71MB, increase: 261.62MB
6-16-2026 10:41:27-debug: run package(oppo-mini-game) handler(enable) success!
6-16-2026 10:41:27-debug: run package(oppo-mini-game) handler(enable) start
6-16-2026 10:41:27-debug: run package(runtime-dev-tools) handler(enable) success!
6-16-2026 10:41:27-debug: run package(taobao-mini-game) handler(enable) start
6-16-2026 10:41:27-debug: run package(taobao-mini-game) handler(enable) success!
6-16-2026 10:41:27-debug: run package(vivo-mini-game) handler(enable) start
6-16-2026 10:41:27-debug: run package(runtime-dev-tools) handler(enable) start
6-16-2026 10:41:27-debug: run package(web-desktop) handler(enable) start
6-16-2026 10:41:27-debug: run package(web-desktop) handler(enable) success!
6-16-2026 10:41:27-debug: run package(vivo-mini-game) handler(enable) success!
6-16-2026 10:41:27-debug: run package(web-mobile) handler(enable) start
6-16-2026 10:41:27-debug: run package(web-mobile) handler(enable) success!
6-16-2026 10:41:27-debug: run package(wechatgame) handler(enable) start
6-16-2026 10:41:27-debug: run package(wechatgame) handler(enable) success!
6-16-2026 10:41:27-debug: run package(wechatprogram) handler(enable) success!
6-16-2026 10:41:27-debug: run package(windows) handler(enable) success!
6-16-2026 10:41:27-debug: run package(wechatprogram) handler(enable) start
6-16-2026 10:41:27-debug: run package(xiaomi-quick-game) handler(enable) start
6-16-2026 10:41:27-debug: run package(windows) handler(enable) start
6-16-2026 10:41:27-debug: run package(xiaomi-quick-game) handler(enable) success!
6-16-2026 10:41:27-debug: run package(cocos-service) handler(enable) start
6-16-2026 10:41:27-debug: run package(cocos-service) handler(enable) success!
6-16-2026 10:41:27-debug: run package(placeholder) handler(enable) start
6-16-2026 10:41:27-debug: run package(im-plugin) handler(enable) success!
6-16-2026 10:41:27-debug: asset-db:worker-init: initPlugin (1450ms)
6-16-2026 10:41:27-debug: run package(im-plugin) handler(enable) start
6-16-2026 10:41:27-debug: run package(placeholder) handler(enable) success!
6-16-2026 10:41:27-debug: [Assets Memory track]: asset-db:worker-init start:27.95MB, end 341.97MB, increase: 314.02MB
6-16-2026 10:41:27-debug: Run asset db hook programming:beforePreStart ...
6-16-2026 10:41:27-debug: Run asset db hook engine-extends:beforePreStart ...
6-16-2026 10:41:29-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\chunksbackground: #aaff85; color: #000;color: #000;
6-16-2026 10:41:27-debug: Run asset db hook engine-extends:beforePreStart success!
6-16-2026 10:41:29-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default-terrainbackground: #aaff85; color: #000;color: #000;
6-16-2026 10:41:29-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_file_contentbackground: #aaff85; color: #000;color: #000;
6-16-2026 10:41:27-debug: Run asset db hook programming:beforePreStart success!
6-16-2026 10:41:29-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_cubemapbackground: #aaff85; color: #000;color: #000;
6-16-2026 10:41:29-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_fontsbackground: #aaff85; color: #000;color: #000;
6-16-2026 10:41:29-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_materialsbackground: #aaff85; color: #000;color: #000;
6-16-2026 10:41:29-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_prefabbackground: #aaff85; color: #000;color: #000;
6-16-2026 10:41:29-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_renderpipelinebackground: #aaff85; color: #000;color: #000;
6-16-2026 10:41:29-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_skyboxbackground: #aaff85; color: #000;color: #000;
6-16-2026 10:41:29-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_uibackground: #aaff85; color: #000;color: #000;
6-16-2026 10:41:29-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\dependenciesbackground: #aaff85; color: #000;color: #000;
6-16-2026 10:41:29-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\effectsbackground: #aaff85; color: #000;color: #000;
6-16-2026 10:41:29-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\gizmobackground: #aaff85; color: #000;color: #000;
6-16-2026 10:41:29-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\physicsbackground: #aaff85; color: #000;color: #000;
6-16-2026 10:41:29-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\toolsbackground: #aaff85; color: #000;color: #000;
6-16-2026 10:41:29-debug: asset-db:worker-init (3702ms)
6-16-2026 10:41:29-debug: asset-db-hook-programming-beforePreStart (1558ms)
6-16-2026 10:41:29-debug: asset-db-hook-engine-extends-beforePreStart (1558ms)
