6-30-2026 20:30:08-log: Cannot access game frame or container.
6-30-2026 20:30:09-debug: asset-db:require-engine-code (2292ms)
6-30-2026 20:30:10-log: meshopt wasm decoder initialized
6-30-2026 20:30:10-log: [bullet]:bullet wasm lib loaded.
6-30-2026 20:30:10-log: [box2d]:box2d wasm lib loaded.
6-30-2026 20:30:10-log: Using legacy pipeline
6-30-2026 20:30:10-log: Forward render pipeline initialized.
6-30-2026 20:30:10-debug: [Assets Memory track]: asset-db:worker-init: initEngine start:27.22MB, end 79.46MB, increase: 52.24MB
6-30-2026 20:30:10-log: Cocos Creator v3.8.8
6-30-2026 20:30:13-debug: [Assets Memory track]: asset-db:worker-init: initPlugin start:79.50MB, end 274.13MB, increase: 194.63MB
6-30-2026 20:30:13-debug: asset-db:worker-init: initPlugin (3659ms)
6-30-2026 20:30:13-debug: [Assets Memory track]: asset-db:worker-init start:27.21MB, end 274.24MB, increase: 247.03MB
6-30-2026 20:30:13-debug: Run asset db hook programming:beforePreStart success!
6-30-2026 20:30:13-debug: Run asset db hook engine-extends:beforePreStart ...
6-30-2026 20:30:13-debug: Run asset db hook engine-extends:beforePreStart success!
6-30-2026 20:30:18-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\chunksbackground: #aaff85; color: #000;color: #000;
6-30-2026 20:30:18-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default-terrainbackground: #aaff85; color: #000;color: #000;
6-30-2026 20:30:18-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_cubemapbackground: #aaff85; color: #000;color: #000;
6-30-2026 20:30:18-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_file_contentbackground: #aaff85; color: #000;color: #000;
6-30-2026 20:30:18-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_fontsbackground: #aaff85; color: #000;color: #000;
6-30-2026 20:30:13-debug: Run asset db hook programming:beforePreStart ...
6-30-2026 20:30:18-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_prefabbackground: #aaff85; color: #000;color: #000;
6-30-2026 20:30:18-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_skyboxbackground: #aaff85; color: #000;color: #000;
6-30-2026 20:30:18-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_materialsbackground: #aaff85; color: #000;color: #000;
6-30-2026 20:30:18-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_uibackground: #aaff85; color: #000;color: #000;
6-30-2026 20:30:18-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_renderpipelinebackground: #aaff85; color: #000;color: #000;
6-30-2026 20:30:18-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\dependenciesbackground: #aaff85; color: #000;color: #000;
6-30-2026 20:30:18-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\gizmobackground: #aaff85; color: #000;color: #000;
