6-8-2026 16:12:11-log: Cannot access game frame or container.
6-8-2026 16:12:11-debug: asset-db:require-engine-code (456ms)
6-8-2026 16:12:11-log: meshopt wasm decoder initialized
6-8-2026 16:12:11-log: [bullet]:bullet wasm lib loaded.
6-8-2026 16:12:11-log: [box2d]:box2d wasm lib loaded.
6-8-2026 16:12:11-log: Cocos Creator v3.8.8
6-8-2026 16:12:11-log: Using legacy pipeline
6-8-2026 16:12:11-log: Forward render pipeline initialized.
6-8-2026 16:12:11-debug: [Assets Memory track]: asset-db:worker-init: initEngine start:28.39MB, end 79.00MB, increase: 50.61MB
6-8-2026 16:12:12-debug: [Assets Memory track]: asset-db:worker-init: initPlugin start:79.06MB, end 340.82MB, increase: 261.76MB
6-8-2026 16:12:12-debug: run package(oppo-mini-game) handler(enable) start
6-8-2026 16:12:12-debug: run package(runtime-dev-tools) handler(enable) success!
6-8-2026 16:12:12-debug: run package(runtime-dev-tools) handler(enable) start
6-8-2026 16:12:12-debug: run package(oppo-mini-game) handler(enable) success!
6-8-2026 16:12:12-debug: run package(taobao-mini-game) handler(enable) success!
6-8-2026 16:12:12-debug: run package(taobao-mini-game) handler(enable) start
6-8-2026 16:12:12-debug: run package(vivo-mini-game) handler(enable) start
6-8-2026 16:12:12-debug: run package(vivo-mini-game) handler(enable) success!
6-8-2026 16:12:12-debug: run package(web-desktop) handler(enable) success!
6-8-2026 16:12:12-debug: run package(web-desktop) handler(enable) start
6-8-2026 16:12:12-debug: run package(web-mobile) handler(enable) success!
6-8-2026 16:12:12-debug: run package(wechatgame) handler(enable) success!
6-8-2026 16:12:12-debug: run package(wechatgame) handler(enable) start
6-8-2026 16:12:12-debug: run package(web-mobile) handler(enable) start
6-8-2026 16:12:12-debug: run package(windows) handler(enable) start
6-8-2026 16:12:12-debug: run package(wechatprogram) handler(enable) success!
6-8-2026 16:12:12-debug: run package(wechatprogram) handler(enable) start
6-8-2026 16:12:12-debug: run package(windows) handler(enable) success!
6-8-2026 16:12:12-debug: run package(cocos-service) handler(enable) start
6-8-2026 16:12:12-debug: run package(xiaomi-quick-game) handler(enable) success!
6-8-2026 16:12:12-debug: run package(cocos-service) handler(enable) success!
6-8-2026 16:12:12-debug: run package(im-plugin) handler(enable) start
6-8-2026 16:12:12-debug: run package(xiaomi-quick-game) handler(enable) start
6-8-2026 16:12:12-debug: run package(placeholder) handler(enable) start
6-8-2026 16:12:12-debug: run package(im-plugin) handler(enable) success!
6-8-2026 16:12:12-debug: run package(placeholder) handler(enable) success!
6-8-2026 16:12:12-debug: asset-db:worker-init: initPlugin (1343ms)
6-8-2026 16:12:12-debug: [Assets Memory track]: asset-db:worker-init start:28.38MB, end 342.11MB, increase: 313.72MB
6-8-2026 16:12:12-debug: Run asset db hook programming:beforePreStart success!
6-8-2026 16:12:12-debug: Run asset db hook engine-extends:beforePreStart success!
6-8-2026 16:12:12-debug: Run asset db hook programming:beforePreStart ...
6-8-2026 16:12:14-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default-terrainbackground: #aaff85; color: #000;color: #000;
6-8-2026 16:12:14-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_cubemapbackground: #aaff85; color: #000;color: #000;
6-8-2026 16:12:14-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_file_contentbackground: #aaff85; color: #000;color: #000;
6-8-2026 16:12:14-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\chunksbackground: #aaff85; color: #000;color: #000;
6-8-2026 16:12:14-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_fontsbackground: #aaff85; color: #000;color: #000;
6-8-2026 16:12:12-debug: Run asset db hook engine-extends:beforePreStart ...
6-8-2026 16:12:14-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_materialsbackground: #aaff85; color: #000;color: #000;
6-8-2026 16:12:14-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_prefabbackground: #aaff85; color: #000;color: #000;
6-8-2026 16:12:14-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_renderpipelinebackground: #aaff85; color: #000;color: #000;
6-8-2026 16:12:14-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_skyboxbackground: #aaff85; color: #000;color: #000;
6-8-2026 16:12:14-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_uibackground: #aaff85; color: #000;color: #000;
6-8-2026 16:12:14-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\dependenciesbackground: #aaff85; color: #000;color: #000;
6-8-2026 16:12:14-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\effectsbackground: #aaff85; color: #000;color: #000;
6-8-2026 16:12:14-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\gizmobackground: #aaff85; color: #000;color: #000;
6-8-2026 16:12:14-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\physicsbackground: #aaff85; color: #000;color: #000;
6-8-2026 16:12:14-debug: asset-db:worker-init (3712ms)
6-8-2026 16:12:14-debug: asset-db-hook-programming-beforePreStart (1725ms)
6-8-2026 16:12:14-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\toolsbackground: #aaff85; color: #000;color: #000;
6-8-2026 16:12:14-debug: asset-db-hook-engine-extends-beforePreStart (1724ms)
6-8-2026 16:12:14-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\chunks\builtinbackground: #aaff85; color: #000;color: #000;
6-8-2026 16:12:14-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\chunks\commonbackground: #aaff85; color: #000;color: #000;
6-8-2026 16:12:14-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\chunks\legacybackground: #aaff85; color: #000;color: #000;
6-8-2026 16:12:14-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\chunks\lighting-modelsbackground: #aaff85; color: #000;color: #000;
6-8-2026 16:12:14-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\chunks\post-processbackground: #aaff85; color: #000;color: #000;
