7-21-2026 22:07:09-log: Cannot access game frame or container.
7-21-2026 22:07:10-debug: asset-db:require-engine-code (1374ms)
7-21-2026 22:07:10-log: meshopt wasm decoder initialized
7-21-2026 22:07:10-log: [bullet]:bullet wasm lib loaded.
7-21-2026 22:07:10-log: [box2d]:box2d wasm lib loaded.
7-21-2026 22:07:10-log: Cocos Creator v3.8.8
7-21-2026 22:07:10-log: Forward render pipeline initialized.
7-21-2026 22:07:10-log: Using legacy pipeline
7-21-2026 22:07:10-debug: [Assets Memory track]: asset-db:worker-init: initEngine start:28.36MB, end 79.52MB, increase: 51.15MB
7-21-2026 22:07:13-debug: [Assets Memory track]: asset-db:worker-init: initPlugin start:79.56MB, end 221.39MB, increase: 141.83MB
7-21-2026 22:07:13-debug: asset-db:worker-init: initPlugin (2313ms)
7-21-2026 22:07:13-debug: [Assets Memory track]: asset-db:worker-init start:28.36MB, end 221.50MB, increase: 193.14MB
7-21-2026 22:07:13-debug: Run asset db hook programming:beforePreStart ...
7-21-2026 22:07:13-debug: Run asset db hook programming:beforePreStart success!
7-21-2026 22:07:13-debug: Run asset db hook engine-extends:beforePreStart success!
7-21-2026 22:07:18-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\chunksbackground: #aaff85; color: #000;color: #000;
7-21-2026 22:07:18-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default-terrainbackground: #aaff85; color: #000;color: #000;
7-21-2026 22:07:18-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_file_contentbackground: #aaff85; color: #000;color: #000;
7-21-2026 22:07:13-debug: Run asset db hook engine-extends:beforePreStart ...
7-21-2026 22:07:18-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_fontsbackground: #aaff85; color: #000;color: #000;
7-21-2026 22:07:18-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_cubemapbackground: #aaff85; color: #000;color: #000;
7-21-2026 22:07:18-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_materialsbackground: #aaff85; color: #000;color: #000;
7-21-2026 22:07:18-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_prefabbackground: #aaff85; color: #000;color: #000;
7-21-2026 22:07:18-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_renderpipelinebackground: #aaff85; color: #000;color: #000;
7-21-2026 22:07:18-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_skyboxbackground: #aaff85; color: #000;color: #000;
7-21-2026 22:07:18-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_uibackground: #aaff85; color: #000;color: #000;
7-21-2026 22:07:18-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\dependenciesbackground: #aaff85; color: #000;color: #000;
7-21-2026 22:07:18-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\effectsbackground: #aaff85; color: #000;color: #000;
7-21-2026 22:07:18-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\physicsbackground: #aaff85; color: #000;color: #000;
7-21-2026 22:07:18-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\gizmobackground: #aaff85; color: #000;color: #000;
7-21-2026 22:07:18-debug: asset-db-hook-programming-beforePreStart (4818ms)
7-21-2026 22:07:18-debug: asset-db:worker-init (8769ms)
