7-28-2026 10:25:11-log: Cannot access game frame or container.
7-28-2026 10:25:11-debug: asset-db:require-engine-code (552ms)
7-28-2026 10:25:11-log: meshopt wasm decoder initialized
7-28-2026 10:25:11-log: [bullet]:bullet wasm lib loaded.
7-28-2026 10:25:11-log: [box2d]:box2d wasm lib loaded.
7-28-2026 10:25:11-log: Cocos Creator v3.8.8
7-28-2026 10:25:11-log: Forward render pipeline initialized.
7-28-2026 10:25:11-debug: [Assets Memory track]: asset-db:worker-init: initEngine start:28.32MB, end 79.51MB, increase: 51.19MB
7-28-2026 10:25:11-log: Using legacy pipeline
7-28-2026 10:25:13-debug: [Assets Memory track]: asset-db:worker-init: initPlugin start:79.57MB, end 340.69MB, increase: 261.12MB
7-28-2026 10:25:13-debug: run package(native) handler(enable) start
7-28-2026 10:25:13-debug: run package(native) handler(enable) success!
7-28-2026 10:25:13-debug: run package(ohos) handler(enable) start
7-28-2026 10:25:13-debug: run package(oppo-mini-game) handler(enable) start
7-28-2026 10:25:13-debug: run package(runtime-dev-tools) handler(enable) start
7-28-2026 10:25:13-debug: run package(oppo-mini-game) handler(enable) success!
7-28-2026 10:25:13-debug: run package(runtime-dev-tools) handler(enable) success!
7-28-2026 10:25:13-debug: run package(taobao-mini-game) handler(enable) success!
7-28-2026 10:25:13-debug: run package(vivo-mini-game) handler(enable) start
7-28-2026 10:25:13-debug: run package(taobao-mini-game) handler(enable) start
7-28-2026 10:25:13-debug: run package(vivo-mini-game) handler(enable) success!
7-28-2026 10:25:13-debug: run package(web-desktop) handler(enable) success!
7-28-2026 10:25:13-debug: run package(ohos) handler(enable) success!
7-28-2026 10:25:13-debug: run package(web-desktop) handler(enable) start
7-28-2026 10:25:13-debug: run package(web-mobile) handler(enable) success!
7-28-2026 10:25:13-debug: run package(wechatgame) handler(enable) success!
7-28-2026 10:25:13-debug: run package(web-mobile) handler(enable) start
7-28-2026 10:25:13-debug: run package(wechatgame) handler(enable) start
7-28-2026 10:25:13-debug: run package(wechatprogram) handler(enable) success!
7-28-2026 10:25:13-debug: run package(windows) handler(enable) start
7-28-2026 10:25:13-debug: run package(wechatprogram) handler(enable) start
7-28-2026 10:25:13-debug: run package(xiaomi-quick-game) handler(enable) start
7-28-2026 10:25:13-debug: run package(xiaomi-quick-game) handler(enable) success!
7-28-2026 10:25:13-debug: run package(cocos-service) handler(enable) success!
7-28-2026 10:25:13-debug: run package(im-plugin) handler(enable) start
7-28-2026 10:25:13-debug: run package(windows) handler(enable) success!
7-28-2026 10:25:13-debug: run package(cocos-service) handler(enable) start
7-28-2026 10:25:13-debug: run package(im-plugin) handler(enable) success!
7-28-2026 10:25:13-debug: run package(placeholder) handler(enable) success!
7-28-2026 10:25:13-debug: asset-db:worker-init: initPlugin (1427ms)
7-28-2026 10:25:13-debug: run package(placeholder) handler(enable) start
7-28-2026 10:25:13-debug: [Assets Memory track]: asset-db:worker-init start:28.31MB, end 342.11MB, increase: 313.80MB
7-28-2026 10:25:13-debug: Run asset db hook engine-extends:beforePreStart ...
7-28-2026 10:25:13-debug: Run asset db hook programming:beforePreStart ...
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\chunksbackground: #aaff85; color: #000;color: #000;
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default-terrainbackground: #aaff85; color: #000;color: #000;
7-28-2026 10:25:13-debug: Run asset db hook programming:beforePreStart success!
7-28-2026 10:25:13-debug: Run asset db hook engine-extends:beforePreStart success!
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_cubemapbackground: #aaff85; color: #000;color: #000;
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_fontsbackground: #aaff85; color: #000;color: #000;
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_file_contentbackground: #aaff85; color: #000;color: #000;
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_materialsbackground: #aaff85; color: #000;color: #000;
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_prefabbackground: #aaff85; color: #000;color: #000;
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_renderpipelinebackground: #aaff85; color: #000;color: #000;
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_uibackground: #aaff85; color: #000;color: #000;
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_skyboxbackground: #aaff85; color: #000;color: #000;
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\dependenciesbackground: #aaff85; color: #000;color: #000;
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\effectsbackground: #aaff85; color: #000;color: #000;
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\gizmobackground: #aaff85; color: #000;color: #000;
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\physicsbackground: #aaff85; color: #000;color: #000;
7-28-2026 10:25:15-debug: asset-db:worker-init (4166ms)
7-28-2026 10:25:15-debug: asset-db-hook-programming-beforePreStart (1965ms)
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\toolsbackground: #aaff85; color: #000;color: #000;
7-28-2026 10:25:15-debug: asset-db-hook-engine-extends-beforePreStart (1965ms)
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\chunks\builtinbackground: #aaff85; color: #000;color: #000;
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\chunks\commonbackground: #aaff85; color: #000;color: #000;
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\chunks\legacybackground: #aaff85; color: #000;color: #000;
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\chunks\lighting-modelsbackground: #aaff85; color: #000;color: #000;
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\chunks\post-processbackground: #aaff85; color: #000;color: #000;
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\chunks\shading-entriesbackground: #aaff85; color: #000;color: #000;
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\chunks\surfacesbackground: #aaff85; color: #000;color: #000;
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_file_content\animation-clipbackground: #aaff85; color: #000;color: #000;
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_file_content\animation-graphbackground: #aaff85; color: #000;color: #000;
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_file_content\animation-graph-variantbackground: #aaff85; color: #000;color: #000;
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_file_content\animation-maskbackground: #aaff85; color: #000;color: #000;
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_file_content\auto-atlasbackground: #aaff85; color: #000;color: #000;
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_file_content\effect-headerbackground: #aaff85; color: #000;color: #000;
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_file_content\effectbackground: #aaff85; color: #000;color: #000;
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_file_content\label-atlasbackground: #aaff85; color: #000;color: #000;
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_file_content\materialbackground: #aaff85; color: #000;color: #000;
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_file_content\prefabbackground: #aaff85; color: #000;color: #000;
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_file_content\physics-materialbackground: #aaff85; color: #000;color: #000;
7-28-2026 10:25:15-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_file_content\render-pipelinebackground: #aaff85; color: #000;color: #000;
